Product_ID,Price,Units_Sold,Sales,Date,Category,Discount,Store_Location,Customer_ID
P0088,156.86,71.0,11137.060000000001,2023-11-15,,5.0,New York,C0179
P0049,,,10946.88,2023-12-04,Accessories,0.0,Texas,C0055
P0094,112.73,,7327.45,2023-05-25,Clothing,5.0,California,C0110
P0040,14.06,90.0,1265.4,2023-03-13,Electronics,5.0,Texas,C0251
P0081,130.47,31.0,4044.57,2023-01-29,Food,5.0,California,C0021
P0072,299.98,21.0,6299.58,2023-04-21,Accessories,5.0,Florida,C0256
P0028,278.42,9.0,2505.78,2023-12-12,Clothing,20.0,New York,C0217
P0031,256.73,59.0,15147.070000000002,2023-10-10,Clothing,20.0,California,C0024
P0082,123.69,10.0,1236.9,2023-08-15,Furniture,,Florida,C0263
P0002,162.41,69.0,11206.289999999999,2023-12-25,,20.0,Texas,C0177
P0090,85.48,80.0,6838.400000000001,2023-05-09,Accessories,0.0,Illinois,C0205
P0043,273.05,26.0,7099.3,2023-02-20,Furniture,10.0,Illinois,C0063
P0012,495.69,55.0,27262.95,2023-07-15,Accessories,10.0,New York,C0020
P0040,92.85,,1578.4499999999998,2023-10-27,Accessories,0.0,Florida,C0297
P0037,480.63,16.0,7690.08,2023-08-28,Clothing,10.0,Florida,C0191
P0067,266.4,15.0,3995.9999999999995,2023-12-05,,5.0,New York,C0290
P0096,57.35,63.0,3613.05,2023-03-12,Food,10.0,Illinois,C0285
P0016,,22.0,1040.6,2023-05-25,Furniture,20.0,California,C0124
P0019,142.28,72.0,10244.16,2023-11-12,Accessories,15.0,Texas,C0254
P0073,30.34,9.0,273.06,2023-08-17,,5.0,Florida,C0155
P0074,,87.0,9145.44,2023-02-28,Food,10.0,California,C0063
P0004,308.17,100.0,30817.0,2023-02-11,Clothing,15.0,New York,C0241
P0079,166.1,57.0,9467.699999999999,2023-07-11,Furniture,0.0,California,C0228
P0011,305.97,81.0,24783.570000000003,2023-12-06,Accessories,5.0,Illinois,C0263
P0058,427.53,70.0,29927.1,2023-07-27,Accessories,10.0,California,C0144
P0042,85.71,74.0,6342.54,2023-09-17,Food,10.0,New York,C0169
P0039,,1.0,126.68,2023-07-07,Clothing,15.0,Texas,C0241
P0007,417.47,97.0,40494.590000000004,2023-05-30,Furniture,5.0,Illinois,C0062
P0098,217.3,42.0,9126.6,2023-11-04,Clothing,20.0,Florida,C0102
P0003,15.11,78.0,1178.58,2023-03-09,Electronics,15.0,Illinois,C0188
P0035,388.19,3.0,1164.57,2023-10-23,Furniture,20.0,California,C0270
P0061,359.21,23.0,8261.83,2023-12-27,Food,,Florida,C0279
P0089,28.7,80.0,2296.0,2023-04-18,Food,10.0,Florida,C0183
P0093,121.8,98.0,11936.4,2023-01-13,Food,15.0,Florida,C0018
P0004,468.09,27.0,12638.429999999998,2023-08-01,Clothing,20.0,Illinois,C0089
P0007,5.57,86.0,479.02000000000004,2023-10-18,Electronics,0.0,California,C0058
P0003,312.66,52.0,16258.320000000002,2023-07-11,Furniture,15.0,Florida,C0118
P0055,253.6,27.0,6847.2,2023-12-17,Clothing,5.0,Illinois,C0060
P0091,174.82,34.0,5943.88,2023-02-28,Electronics,15.0,New York,C0290
P0056,278.37,90.0,25053.3,2023-07-06,Clothing,0.0,New York,C0180
P0070,150.72,,11605.44,2023-08-25,Electronics,10.0,Illinois,C0044
P0092,231.45,22.0,5091.9,2023-11-16,Food,20.0,Illinois,C0254
P0018,246.96,89.0,21979.440000000002,2023-09-10,Electronics,15.0,Illinois,C0299
P0034,376.02,34.0,12784.68,2023-11-08,Electronics,0.0,Florida,C0014
P0004,428.52,53.0,22711.559999999998,2023-06-22,Furniture,0.0,California,C0050
P0086,378.86,,36749.42,2023-01-30,Clothing,20.0,California,C0054
P0030,408.48,85.0,34720.8,2023-06-28,Accessories,,Illinois,C0138
P0001,231.95,21.0,4870.95,2023-12-28,Food,15.0,New York,C0137
P0013,264.58,98.0,25928.84,2023-07-04,Electronics,20.0,Illinois,C0218
P0067,215.72,54.0,11648.88,2023-06-03,Clothing,,New York,C0011
P0092,306.04,29.0,8875.16,2023-01-19,Electronics,0.0,Texas,C0291
P0056,295.0,85.0,25075.0,2023-08-04,Furniture,20.0,California,C0022
P0002,477.41,,25302.73,2023-03-24,Accessories,5.0,Florida,C0077
P0024,220.14,15.0,3302.1,2023-06-21,Electronics,5.0,Texas,C0077
P0034,184.63,17.0,3138.71,2023-11-07,Food,20.0,New York,C0008
P0016,423.69,75.0,31776.75,2023-04-11,Food,5.0,Illinois,C0157
P0097,337.07,84.0,28313.88,2023-02-23,Food,5.0,Illinois,C0085
P0085,238.11,65.0,15477.150000000001,2023-08-02,Accessories,10.0,Texas,C0188
P0089,130.79,86.0,11247.939999999999,2023-08-25,Food,10.0,Texas,C0115
P0031,334.12,25.0,8353.0,2023-03-29,Accessories,10.0,Texas,C0291
P0089,18.36,63.0,1156.68,2023-06-18,Furniture,15.0,New York,C0170
P0044,160.56,63.0,10115.28,2023-06-21,Furniture,10.0,Florida,C0080
P0040,319.2,26.0,8299.199999999999,2023-03-06,Furniture,15.0,California,C0145
P0084,298.36,61.0,18199.96,2023-02-24,Clothing,0.0,Texas,C0090
P0081,13.5,5.0,67.5,2023-08-13,Electronics,5.0,Florida,C0292
P0059,5.64,89.0,501.96,2023-02-28,Food,10.0,California,C0088
P0005,230.19,44.0,10128.36,2023-07-20,,5.0,Texas,C0287
P0087,281.36,32.0,9003.52,2023-08-31,Electronics,0.0,California,C0124
P0062,29.65,63.0,1867.9499999999998,2023-12-28,Electronics,20.0,Florida,C0189
P0077,144.26,2.0,288.52,2023-10-27,,20.0,California,C0236
P0066,99.07,95.0,9411.65,2023-09-29,Furniture,10.0,Florida,C0071
P0066,21.09,84.0,1771.56,2023-12-04,Food,20.0,California,C0071
P0065,17.66,79.0,1395.14,2023-01-17,Electronics,20.0,California,C0123
P0044,159.99,97.0,15519.03,2023-12-25,Food,0.0,California,C0103
P0096,162.94,83.0,13524.02,2023-10-10,Clothing,15.0,Florida,C0219
P0087,426.43,69.0,29423.670000000002,2023-01-19,Food,,California,C0218
P0016,61.64,99.0,6102.36,2023-05-09,Food,0.0,Florida,C0118
P0089,272.17,100.0,27217.0,2023-08-30,Furniture,10.0,California,C0125
P0013,351.18,9.0,3160.62,2023-03-11,Furniture,0.0,New York,C0197
P0026,413.91,82.0,33940.62,2023-07-19,,15.0,Texas,C0288
P0098,460.62,94.0,43298.28,2023-02-23,Furniture,5.0,Illinois,C0215
P0044,331.67,61.0,20231.870000000003,2023-06-17,Electronics,20.0,California,C0227
P0073,121.29,22.0,2668.38,2023-12-13,Furniture,0.0,Illinois,C0025
P0071,326.03,29.0,9454.869999999999,2023-01-04,Furniture,5.0,Texas,C0223
P0004,58.12,88.0,5114.5599999999995,2023-12-12,Accessories,20.0,Illinois,C0065
P0044,215.52,74.0,15948.480000000001,2023-03-18,,15.0,Florida,C0118
P0029,483.42,96.0,46408.32,2023-09-26,Food,5.0,New York,C0165
P0023,215.83,41.0,8849.03,2023-10-23,Clothing,10.0,California,C0087
P0067,246.7,58.0,14308.599999999999,2023-07-24,Electronics,10.0,New York,C0038
P0015,220.6,77.0,16986.2,2023-03-15,Accessories,20.0,New York,C0039
P0085,248.71,97.0,24124.87,2023-07-10,Furniture,10.0,Florida,C0069
P0050,152.97,85.0,13002.45,2023-06-28,Electronics,15.0,Illinois,C0295
P0091,192.3,7.0,1346.1000000000001,2023-08-27,Clothing,10.0,New York,C0058
P0081,139.05,14.0,1946.7000000000003,2023-03-23,Electronics,5.0,Florida,C0279
P0027,495.82,,34707.4,2023-07-03,Furniture,0.0,California,C0127
P0015,480.11,65.0,31207.15,2023-02-01,,5.0,New York,C0020
P0094,427.18,88.0,37591.840000000004,2023-09-30,Furniture,5.0,Texas,C0177
P0023,184.62,46.0,8492.52,2023-05-31,Food,20.0,Texas,C0193
P0018,335.49,22.0,7380.780000000001,2023-09-30,Accessories,15.0,Texas,C0017
P0076,65.9,89.0,5865.1,2023-07-15,Accessories,15.0,New York,C0259
P0089,431.21,32.0,13798.72,2023-11-30,Food,20.0,New York,C0242
P0079,187.66,65.0,12197.9,2023-09-15,,15.0,Texas,C0112
P0022,137.64,62.0,8533.679999999998,2023-09-09,Accessories,,New York,C0131
P0089,472.83,98.0,46337.34,2023-10-31,Food,10.0,Texas,C0037
P0054,205.41,14.0,2875.74,2023-01-31,Food,10.0,Illinois,C0034
P0062,164.99,99.0,16334.01,2023-02-17,Accessories,5.0,California,C0238
P0026,149.75,53.0,7936.75,2023-12-13,Furniture,0.0,Florida,C0069
P0063,47.58,31.0,1474.98,2023-07-27,,15.0,Florida,C0165
P0028,472.35,14.0,6612.900000000001,2023-07-10,Electronics,15.0,Florida,C0205
P0089,112.55,18.0,2025.8999999999999,2023-01-25,Furniture,5.0,Texas,C0007
P0034,196.37,92.0,18066.04,2023-01-16,Electronics,0.0,Florida,C0039
P0027,314.29,12.0,3771.4800000000005,2023-03-14,Food,10.0,Illinois,C0268
P0030,196.45,41.0,8054.45,2023-04-21,Food,10.0,Texas,C0127
P0018,253.33,54.0,13679.820000000002,2023-09-28,Electronics,15.0,Florida,C0015
P0013,392.82,38.0,14927.16,2023-09-01,Clothing,5.0,Florida,C0039
P0067,232.55,54.0,12557.7,2023-03-06,Food,5.0,California,C0215
P0039,289.79,78.0,22603.620000000003,2023-01-09,Electronics,5.0,New York,C0021
P0049,353.85,15.0,5307.75,2023-11-18,Furniture,10.0,Texas,C0047
P0081,496.81,15.0,7452.15,2023-05-09,Electronics,20.0,Illinois,C0086
P0091,226.66,89.0,20172.739999999998,2023-05-04,Clothing,20.0,Florida,C0012
P0085,437.1,52.0,22729.2,2023-11-17,Furniture,5.0,Texas,C0042
P0047,12.87,29.0,373.22999999999996,2023-07-28,Clothing,,New York,C0136
P0015,241.03,23.0,5543.69,2023-04-19,Food,20.0,Florida,C0070
P0028,384.45,68.0,26142.6,2023-03-30,Accessories,10.0,Illinois,C0281
P0075,460.32,,23936.64,2023-05-13,Electronics,5.0,New York,C0204
P0037,110.2,29.0,3195.8,2023-11-15,Clothing,10.0,California,C0117
P0023,140.38,93.0,13055.34,2023-03-29,Accessories,10.0,New York,C0263
P0092,388.48,40.0,15539.2,2023-03-16,Furniture,0.0,Texas,C0257
P0082,259.67,24.0,6232.08,2023-07-26,Accessories,10.0,California,C0191
P0085,232.28,31.0,7200.68,2023-12-29,Food,0.0,Illinois,C0220
P0027,488.33,62.0,30276.46,2023-02-11,Accessories,15.0,Florida,C0209
P0074,192.32,81.0,15577.92,2023-03-26,Food,20.0,California,C0223
P0084,260.33,29.0,7549.57,2023-07-24,Clothing,0.0,California,C0056
P0039,256.73,32.0,8215.36,2023-05-30,Electronics,20.0,Texas,C0290
P0022,,,1209.8700000000001,2023-01-12,Accessories,20.0,New York,C0266
P0067,181.41,14.0,2539.74,2023-05-22,Accessories,10.0,New York,C0292
P0038,76.94,,5231.92,2023-08-08,Clothing,10.0,New York,C0295
P0069,494.31,10.0,4943.1,2023-01-10,Food,15.0,New York,C0067
P0049,263.96,1.0,263.96,2023-05-18,Food,10.0,Illinois,C0275
P0075,348.03,30.0,10440.9,2023-01-18,Clothing,5.0,California,C0170
P0031,97.51,30.0,2925.3,2023-04-13,Electronics,5.0,Texas,C0067
P0023,465.45,84.0,39097.799999999996,2023-10-11,Food,0.0,California,C0016
P0051,455.35,,26865.65,2023-08-09,Accessories,15.0,Florida,C0120
P0046,439.51,54.0,23733.54,2023-04-13,Furniture,20.0,Florida,C0012
P0060,425.96,,34076.799999999996,2023-04-04,Furniture,15.0,California,C0199
P0012,334.85,100.0,33485.0,2023-12-13,Food,20.0,New York,C0230
P0091,164.79,100.0,16479.0,2023-11-20,Accessories,0.0,Florida,C0051
P0037,303.14,56.0,16975.84,2023-07-12,Clothing,5.0,Illinois,C0040
P0027,112.87,10.0,1128.7,2023-10-29,Clothing,15.0,Texas,C0278
P0011,449.8,88.0,39582.4,2023-08-05,Food,10.0,Florida,C0077
P0021,90.64,,8429.52,2023-10-11,Electronics,20.0,Texas,C0001
P0092,349.14,42.0,14663.88,2023-02-18,Electronics,15.0,Florida,C0163
P0007,315.25,77.0,24274.25,2023-08-08,Accessories,5.0,New York,C0064
P0070,19.2,,1862.3999999999999,2023-09-19,Accessories,15.0,Florida,C0019
P0038,372.63,63.0,23475.69,2023-11-14,Furniture,15.0,Illinois,C0267
P0059,191.44,77.0,14740.88,2023-07-16,Clothing,20.0,New York,C0126
P0031,188.57,,12257.05,2023-09-17,Food,5.0,Florida,C0154
P0015,141.79,65.0,9216.35,2023-12-08,Clothing,15.0,New York,C0041
P0051,42.96,97.0,4167.12,2023-04-24,Clothing,10.0,New York,C0154
P0067,256.47,22.0,5642.34,2023-05-27,Furniture,0.0,Florida,C0215
P0045,228.3,27.0,6164.1,2023-02-02,Clothing,15.0,Illinois,C0207
P0048,425.53,96.0,40850.88,2023-04-25,Electronics,15.0,New York,C0052
P0027,493.97,23.0,11361.310000000001,2023-11-26,Furniture,20.0,Texas,C0139
P0049,187.06,5.0,935.3,2023-07-21,Electronics,15.0,New York,C0175
P0059,204.28,55.0,11235.4,2023-01-17,Food,5.0,Florida,C0070
P0013,53.84,5.0,269.20000000000005,2023-03-31,Electronics,15.0,California,C0203
P0064,481.92,79.0,38071.68,2023-10-08,Clothing,0.0,California,C0161
P0072,274.48,1.0,274.48,2023-04-15,Accessories,15.0,California,C0038
P0014,236.93,31.0,7344.83,2023-04-26,Food,20.0,Texas,C0207
P0043,9.61,67.0,643.87,2023-12-22,Electronics,20.0,Texas,C0021
P0010,,16.0,7876.8,2023-09-29,Electronics,15.0,New York,C0244
P0046,353.53,21.0,7424.129999999999,2023-11-09,Furniture,20.0,California,C0247
P0011,16.44,97.0,1594.68,2023-12-05,Furniture,,Texas,C0146
P0094,80.61,97.0,7819.17,2023-04-30,Clothing,0.0,Illinois,C0184
P0014,281.2,40.0,11248.0,2023-09-15,Accessories,10.0,New York,C0101
P0040,21.4,9.0,192.6,2023-05-20,Clothing,5.0,Illinois,C0203
P0009,412.56,76.0,31354.56,2023-12-21,Electronics,10.0,California,C0136
P0054,36.91,24.0,885.8399999999999,2023-02-21,Accessories,5.0,Illinois,C0027
P0089,90.21,66.0,5953.86,2023-02-17,Food,15.0,Illinois,C0214
P0025,52.08,43.0,2239.44,2023-08-30,Food,15.0,Florida,C0267
P0065,198.46,68.0,13495.28,2023-06-18,Clothing,15.0,New York,C0051
P0086,480.97,18.0,8657.460000000001,2023-02-03,Furniture,15.0,Florida,C0123
P0032,266.5,83.0,22119.5,2023-07-17,Clothing,15.0,Florida,C0259
P0048,466.66,99.0,46199.340000000004,2023-11-14,,15.0,California,C0058
P0003,67.7,74.0,5009.8,2023-07-04,Furniture,15.0,New York,C0208
P0012,462.2,43.0,19874.6,2023-08-01,Furniture,20.0,Illinois,C0295
P0053,16.52,85.0,1404.2,2023-10-24,Electronics,15.0,California,C0053
P0088,242.25,43.0,10416.75,2023-07-29,Food,10.0,New York,C0151
P0043,306.51,9.0,2758.59,2023-01-13,Accessories,5.0,Illinois,C0111
P0049,106.29,78.0,8290.62,2023-01-27,Electronics,15.0,New York,C0282
P0091,70.99,50.0,3549.4999999999995,2023-04-24,,5.0,California,C0077
P0075,92.37,57.0,5265.09,2023-11-30,Furniture,20.0,New York,C0119
P0070,322.61,77.0,24840.97,2023-04-24,,10.0,Illinois,C0264
P0063,334.61,13.0,4349.93,2023-12-13,Food,20.0,California,C0184
P0073,183.85,53.0,9744.05,2023-10-07,Food,20.0,California,C0045
P0066,384.21,68.0,26126.28,2023-10-04,Food,20.0,Illinois,C0139
P0008,454.93,86.0,39123.98,2023-02-21,Electronics,15.0,California,C0225
P0033,195.22,48.0,9370.56,2023-01-23,Clothing,0.0,Illinois,C0154
P0074,222.72,,2227.2,2023-05-29,Electronics,0.0,Illinois,C0272
P0076,257.16,87.0,22372.920000000002,2023-07-12,Clothing,20.0,New York,C0264
P0002,77.7,9.0,699.3000000000001,2023-10-08,,0.0,New York,C0088
P0054,453.19,,32176.49,2023-01-18,Clothing,0.0,Illinois,C0051
P0016,31.15,97.0,3021.5499999999997,2023-04-26,Food,20.0,Florida,C0056
P0059,483.84,63.0,30481.92,2023-02-23,Food,10.0,California,C0048
P0048,152.79,67.0,10236.93,2023-10-27,Furniture,,Illinois,C0176
P0075,88.64,9.0,797.76,2023-09-30,Accessories,20.0,Texas,C0260
P0057,291.39,42.0,12238.38,2023-12-01,Furniture,10.0,Illinois,C0298
P0044,32.44,40.0,1297.6,2023-04-10,Furniture,20.0,California,C0175
P0003,305.77,61.0,18651.969999999998,2023-09-16,Accessories,20.0,New York,C0286
P0066,,37.0,2679.9100000000003,2023-04-12,Furniture,15.0,New York,C0083
P0005,398.13,17.0,6768.21,2023-11-15,,5.0,Illinois,C0144
P0015,167.99,74.0,12431.26,2023-07-16,Furniture,20.0,New York,C0134
P0055,215.69,92.0,19843.48,2023-08-18,Accessories,20.0,Florida,C0238
P0030,442.43,62.0,27430.66,2023-07-20,Clothing,5.0,Texas,C0110
P0051,284.62,51.0,14515.62,2023-10-23,Clothing,10.0,California,C0285
P0009,452.15,97.0,43858.549999999996,2023-04-23,Accessories,,California,C0083
P0055,385.49,84.0,32381.16,2023-04-07,Accessories,10.0,New York,C0264
P0051,291.74,17.0,4959.58,2023-07-09,Furniture,5.0,California,C0010
P0020,5.21,96.0,500.15999999999997,2023-02-05,Food,0.0,New York,C0108
P0038,188.43,5.0,942.1500000000001,2023-04-10,Accessories,15.0,New York,C0052
P0078,393.74,96.0,37799.04,2023-10-05,Furniture,15.0,California,C0254
P0030,429.25,,9014.25,2023-08-19,Electronics,0.0,California,C0066
P0090,14.71,9.0,132.39000000000001,2023-03-18,Clothing,20.0,Illinois,C0113
P0019,193.08,39.0,7530.120000000001,2023-07-09,Electronics,10.0,Illinois,C0070
P0042,451.64,,7226.24,2023-04-29,Electronics,15.0,New York,C0047
P0070,276.0,49.0,13524.0,2023-12-22,Furniture,5.0,New York,C0055
P0027,234.26,29.0,6793.54,2023-02-07,Furniture,20.0,Texas,C0008
P0032,345.86,3.0,1037.58,2023-11-29,Food,10.0,New York,C0256
P0086,141.78,70.0,9924.6,2023-08-23,Clothing,10.0,Florida,C0233
P0009,260.81,86.0,22429.66,2023-10-11,Clothing,10.0,California,C0017
P0036,192.04,48.0,9217.92,2023-06-05,Furniture,15.0,Illinois,C0173
P0049,291.81,100.0,29181.0,2023-10-26,Furniture,20.0,California,C0155
P0001,428.0,46.0,19688.0,2023-02-19,Accessories,0.0,California,C0296
P0075,152.22,65.0,9894.3,2023-02-22,Accessories,20.0,California,C0130
P0074,376.7,87.0,32772.9,2023-01-01,Clothing,5.0,New York,C0239
P0085,368.83,84.0,30981.719999999998,2023-09-10,Clothing,0.0,Texas,C0041
P0024,55.02,7.0,385.14000000000004,2023-04-21,Clothing,20.0,California,C0266
P0054,234.18,23.0,5386.14,2023-08-09,Electronics,5.0,California,C0210
P0030,38.8,70.0,2716.0,2023-05-12,Accessories,5.0,Texas,C0038
P0073,,13.0,422.11,2023-12-18,Food,20.0,California,C0227
P0091,82.2,48.0,3945.6000000000004,2023-04-05,Accessories,0.0,Florida,C0271
P0081,250.42,,16527.719999999998,2023-01-19,Furniture,10.0,Florida,C0130
P0008,31.69,38.0,1204.22,2023-11-14,Electronics,0.0,Illinois,C0149
P0037,437.85,71.0,31087.350000000002,2023-09-14,Accessories,0.0,Florida,C0004
P0038,339.1,77.0,26110.7,2023-06-12,Clothing,10.0,Texas,C0239
P0012,384.03,22.0,8448.66,2023-06-21,Furniture,10.0,Texas,C0234
P0065,140.44,20.0,2808.8,2023-06-22,,,Illinois,C0234
P0068,398.43,38.0,15140.34,2023-07-01,,5.0,Florida,C0041
P0099,289.04,,13873.920000000002,2023-07-23,Accessories,5.0,Florida,C0003
P0001,340.89,22.0,7499.58,2023-02-22,Clothing,0.0,Illinois,C0264
P0013,485.87,26.0,12632.62,2023-07-16,Electronics,,Illinois,C0209
P0095,102.07,7.0,714.49,2023-01-03,Accessories,15.0,New York,C0296
P0017,239.98,51.0,12238.98,2023-07-25,Accessories,5.0,Florida,C0300
P0003,117.65,1.0,117.65,2023-12-15,Accessories,20.0,Texas,C0107
P0098,210.7,83.0,17488.1,2023-01-02,Accessories,,Florida,C0177
P0093,398.16,31.0,12342.960000000001,2023-02-19,Accessories,20.0,California,C0053
P0043,,47.0,21161.28,2023-12-21,Accessories,15.0,Illinois,C0075
P0025,131.11,40.0,5244.400000000001,2023-01-30,Accessories,0.0,Florida,C0178
P0006,279.6,7.0,1957.2000000000003,2023-12-11,Furniture,0.0,Texas,C0199
P0097,,39.0,5826.209999999999,2023-12-09,Clothing,0.0,New York,C0035
P0080,,50.0,2767.0,2023-12-27,Clothing,15.0,Illinois,C0217
P0017,102.29,74.0,7569.46,2023-09-06,Accessories,20.0,Illinois,C0120
P0018,369.03,94.0,34688.82,2023-09-01,Food,20.0,New York,C0224
P0015,191.69,99.0,18977.31,2023-12-24,Furniture,10.0,Texas,C0282
P0030,148.23,33.0,4891.589999999999,2023-07-13,Furniture,5.0,Texas,C0271
P0084,56.29,18.0,1013.22,2023-02-04,Food,20.0,New York,C0049
P0077,,58.0,16918.02,2023-01-06,Food,10.0,Texas,C0070
P0064,386.65,82.0,31705.3,2023-05-25,Clothing,15.0,Illinois,C0294
P0034,96.78,68.0,6581.04,2023-10-31,Furniture,20.0,California,C0279
P0078,12.95,55.0,712.25,2023-02-11,Furniture,20.0,New York,C0181
P0006,366.69,29.0,10634.01,2023-03-26,Food,20.0,Texas,C0041
P0050,171.84,30.0,5155.2,2023-01-19,Accessories,20.0,Illinois,C0174
P0086,133.75,78.0,10432.5,2023-01-22,Accessories,,Texas,C0109
P0013,179.0,75.0,13425.0,2023-09-19,Furniture,5.0,Illinois,C0108
P0023,194.69,60.0,11681.4,2023-04-14,Furniture,0.0,Illinois,C0228
P0017,231.27,14.0,3237.78,2023-06-12,Electronics,20.0,Illinois,C0141
P0011,446.34,,9819.48,2023-07-01,Accessories,15.0,Texas,C0238
P0020,96.69,54.0,5221.26,2023-12-27,Clothing,10.0,New York,C0099
P0050,436.11,24.0,10466.64,2023-08-30,Food,20.0,Texas,C0041
P0097,436.57,53.0,23138.21,2023-02-06,Accessories,,New York,C0043
P0076,472.02,78.0,36817.56,2023-10-14,Electronics,20.0,New York,C0054
P0082,310.53,97.0,30121.409999999996,2023-10-18,Furniture,0.0,California,C0280
P0038,70.06,,1681.44,2023-08-25,Furniture,5.0,Texas,C0063
P0028,13.87,98.0,1359.26,2023-12-12,Clothing,0.0,California,C0060
P0009,95.01,4.0,380.04,2023-04-11,Food,5.0,California,C0170
P0028,351.16,69.0,24230.04,2023-02-16,Clothing,10.0,California,C0186
P0033,51.65,66.0,3408.9,2023-11-17,Accessories,20.0,Illinois,C0053
P0046,423.84,78.0,33059.52,2023-08-27,Furniture,15.0,California,C0206
P0008,151.55,66.0,10002.300000000001,2023-05-01,Food,15.0,Illinois,C0225
P0073,,,42380.15,2023-09-03,Furniture,0.0,California,C0197
P0090,107.92,56.0,6043.52,2023-06-24,Clothing,15.0,Texas,C0257
P0014,426.26,72.0,30690.72,2023-04-27,Furniture,15.0,California,C0229
P0050,198.42,34.0,6746.28,2023-08-13,Food,0.0,California,C0151
P0094,45.65,21.0,958.65,2023-07-27,Furniture,0.0,Texas,C0245
P0004,358.18,96.0,34385.28,2023-06-20,Food,5.0,Florida,C0205
P0063,290.7,28.0,8139.599999999999,2023-01-31,Clothing,5.0,Texas,C0176
